ticker,approach,group,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,epochs_trained,final_train_loss,final_val_loss,timestamp
MCD,ORIGINAL,LOW,808,203,124,,,0.025415277116030303,0.023294304908605023,0.9871164216029009,0.26993165361377836,0.0014484729349458067,0.02329390383629607,0.5073891625615764,-0.39256832502932587,203,200,0.0006680228980258107,0.00056156498612836,2025-10-31 15:25:10
LLY,ORIGINAL,MEDIUM,808,203,124,-0.038389757316036395,0.13722935002803305,0.042108894438675055,0.06215132623418705,0.881852555543959,0.35629882938002067,0.0034431487075289153,0.06198121318488966,0.5665024630541872,-0.8374507459846654,203,200,0.0018477943958714604,0.003936369437724352,2025-10-31 15:22:35
V,ADAPTIVE,LOW,603,151,185,-0.0919571709709968,0.04907408767267421,0.02454698271100895,0.03058470172333477,0.8108058053189682,0.17721042789760633,0.0015503579137472847,0.03035396236194375,0.5827814569536424,-0.38397843532974113,151,200,0.002100413665175438,0.002424113918095827,2025-10-31 15:09:20
TMO,ORIGINAL,MEDIUM,808,203,124,,,0.03490059756349514,0.04866366979158021,0.7452566693024278,0.2586298533429341,0.0022831905258799213,0.048633615043616824,0.458128078817734,-0.8645146997610778,203,200,0.0012608855031430721,0.0024049419444054365,2025-10-31 15:20:45
TSLA,ADAPTIVE,HIGH,808,203,124,0.5071481417373903,-0.07977688861491856,0.07569435691876622,0.08918540521058287,0.6501577928004753,-0.04046199495082403,0.0035854687493674215,0.08754421233859928,0.48295454545454547,-0.8944546136997089,176,200,0.00750437006354332,0.009238606318831444,2025-10-31 15:26:56
ISRG,MULTI-SCALE,MEDIUM,603,151,185,-0.10394323688345693,0.11254519275577268,0.04196368493142408,0.04716519327969864,0.4038058587216064,0.02288063537825491,0.0011855723655145257,0.04660749079301312,0.47019867549668876,-0.7267774417202711,151,200,0.002585854148492217,0.003040144219994545,2025-10-31 15:25:35
TMUS,ORIGINAL,MEDIUM,808,203,124,,,0.03111630810204094,0.037790886190518944,0.34757491168905613,0.024224065705547027,0.0008234917515905054,0.03761067283309431,0.5123152709359606,-0.6545384860075505,203,200,0.0009775885846465826,0.001437773578800261,2025-10-31 15:26:02
CVX,MULTI-SCALE,MEDIUM,603,151,185,0.011331649054714375,0.13112201362143716,0.03001880666565779,0.039252704627141664,-0.022576095300707304,-0.12293851187874949,-5.582291120409716e-05,0.039252192694559124,0.5629139072847682,-0.6557667491450929,151,200,0.0011657610302791,0.0018153834389522672,2025-10-31 15:21:39
DIS,ORIGINAL,MEDIUM,808,203,124,,,0.04379568285411894,0.045919519226205484,-0.4151291060138173,-0.37033078680404286,-0.0011983997625330323,0.04582672277567158,0.0,-0.8811142915011861,0,200,0.0019354135729372501,0.0021263582166284323,2025-10-31 15:08:20
MRK,MULTI-SCALE,LOW,603,151,185,,,0.02911025534741928,0.044489534601741265,-0.6771144748134861,-0.352177230692451,-0.0018947640676027606,0.04442150953041391,0.45695364238410596,-0.6728948066276675,151,200,0.0009336096700280905,0.0020650720689445734,2025-10-31 15:27:46
PEP,ADAPTIVE,LOW,603,151,185,0.01324677974797622,0.12837172642514996,0.022108496956774856,0.02989316456604169,-0.6943241916162812,-0.2329275506294134,-0.001303779578707299,0.029808639001970123,0.0,-0.6145126250363869,0,200,0.002230527112260461,0.0026367446407675743,2025-10-31 15:14:20
PG,ADAPTIVE,LOW,603,151,185,-0.023661901181514663,-0.281761426012472,0.02107268756907049,0.025364071254920233,-2.01096860226584,-0.40539120622704705,-0.0031302457605869595,0.02471003818467129,0.4503311258278146,-0.4911035128476758,151,200,0.0006990825640968978,0.0008849347941577435,2025-10-31 15:27:21
CRM,ORIGINAL,MEDIUM,808,203,124,,,0.052864020225013436,0.04273956025633337,-2.042584864874512,-0.7235811644579144,-0.005424384962070824,0.04215709380378563,0.4729064039408867,-0.8618880536269558,203,200,0.0028460202738642693,0.0018766899593174458,2025-10-31 15:15:23
UNH,ORIGINAL,MEDIUM,808,203,124,0.0580544448221158,-0.3070009840740666,0.2624985683491582,0.5959265211337604,-3.5664807336205504,-0.9836708754530692,-0.017085686571552836,0.07604888015402475,0.4056603773584906,-0.9941523161729812,106,21,1.9395495653152466,3.404290199279785,2025-10-31 15:23:38
