ticker,group,volatility_pct,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_original_sharpe,old_multiscale_sharpe,improvement_vs_original,improvement_vs_multiscale,timestamp
PM,LOW,1.404687381773834,603,151,185,0.7444572514593392,-0.20751343424248347,0.020876177507635894,0.03987953165576301,-0.8619521059244892,-0.3257040310881637,-0.0019495394293796177,0.035904522762695824,0.5342465753424658,-0.5772458115517329,146,2.421671527512453,0.6010088098178503,-3.2836236334369424,-1.4629609157423396,2025-10-31 16:28:19
BRK-B,LOW,1.1138484364425405,603,151,185,0.5636275728927176,0.33036591044101454,0.019112938875046177,0.025332646621778074,-1.0079438127408524,-0.22735519171444074,-0.00144677398025922,0.0227858186539756,0.4503311258278146,-0.5045568642201496,151,1.269651411736102,-1.0079438127408524,-2.277595224476954,0.0,2025-10-31 16:28:24
AMZN,MEDIUM,2.3298911198939605,603,151,89,0.34611238940387395,-0.24891546212623272,0.04297035580280621,0.04541611087011451,-1.3848961568462885,-0.5138326667308559,-0.0037907071825012324,0.043451352428344234,0.5691056910569106,-0.7635279080408438,123,-1.4512721159129245,-3.766940780476614,0.06637595906663596,2.3820446236303257,2025-10-31 16:28:05
NOW,MEDIUM,2.6308298729998008,603,151,89,0.45924224858848245,-0.162716922883319,0.04282110046332641,0.059429823186710265,-1.4374279905039338,-0.6220650217454711,-0.004864512339543169,0.053722162021587534,0.0,-0.8425544286685842,0,1.0260435439532627,-4.740798483178933,-2.4634715344571965,3.3033704926749996,2025-10-31 16:28:04
JNJ,LOW,1.0840652322232682,603,151,185,0.5384927549601544,0.15779104553005738,0.019238604781853068,0.02680399292955358,-1.6289457235861462,-0.3618386599546326,-0.0026398705533986224,0.025726238302104517,0.7692307692307693,-0.6316861123878977,26,-4.523282426654036,3.69727643729606,2.8943367030678893,-5.326222160882206,2025-10-31 16:28:25
TMUS,MEDIUM,1.5101211470261011,603,151,89,,,0.02770511840582724,0.03692507482635582,-1.6451077150691222,-0.48155975068257584,-0.003699484234501757,0.0356982652529274,0.47019867549668876,-0.5801389744882546,151,0.3475749116890561,-1.6451077150691222,-1.9926826267581783,0.0,2025-10-31 16:28:14
SCHW,MEDIUM,2.097255488947811,603,151,89,0.5220792094942994,0.16694496045918156,0.04337342953630541,0.04307964272812984,-1.6876762106431675,-0.4461625787268715,-0.0033958787140406068,0.03194208878419369,0.6,-0.6273814340452775,30,4.207624651246654,-1.6876762106431675,-5.8953008618898215,0.0,2025-10-31 16:28:06
NEE,MEDIUM,1.7697365767534603,603,151,89,0.312147698296713,-0.24371085659302982,0.036246455786482265,0.041413651516304294,-1.972220175770255,-0.589167431817287,-0.005042482359937564,0.040587215804993367,0.4700854700854701,-0.7776737488213162,117,-0.3009231129489526,-1.972220175770255,-1.6712970628213024,0.0,2025-10-31 16:28:09
AMD,HIGH,3.4372200537600595,808,203,80,0.47748027653062697,-0.31878486310735826,0.0671125837005845,0.09112328236896167,-4.79286876045947,-0.9977647536980025,-0.02584363013383729,0.08559694211536913,0.37681159420289856,-0.997676337873636,69,-3.735285096534544,-5.167317889664012,-1.0575836639249259,0.37444912920454243,2025-10-31 16:28:02
ABT,LOW,1.385531144292016,603,151,185,0.7304393961908641,-0.1368933784802244,0.02119786949283216,0.03399751565397978,-4.888214294428833,-0.6919971391777842,-0.0074718957205110355,0.02426503018234377,0.29545454545454547,-0.7450940000307456,44,1.559859172674143,0.2660699343634335,-6.448073467102976,-5.1542842287922666,2025-10-31 16:28:20
