,strategy,benchmark
2024-07-10,11621.807759386647,12531.294977365023
2024-07-11,11534.06188295885,12423.241397132184
2024-07-12,11597.696404009863,12501.60334536142
2024-07-15,11615.436098658625,12535.984658793166
2024-07-16,11649.841737122562,12610.323718056905
2024-07-17,11527.293907276618,12433.511661121129
2024-07-18,11449.899055483631,12337.961131256297
2024-07-19,11383.535799403715,12256.030044949006
2024-07-22,11475.857447889939,12382.391366780676
2024-07-23,11466.865416921053,12362.967231992314
2024-07-24,11272.145438555042,12082.79127625184
2024-07-25,11220.909416553151,12019.834724006023
2024-07-26,11330.466395107416,12154.453481957038
2024-07-29,11326.382761774654,12161.597291660557
2024-07-30,11297.719212602096,12099.981241274287
2024-07-31,11435.239530536177,12296.66011679105
2024-08-01,11293.416013110816,12122.529063574373
2024-08-02,11109.588406408031,11896.82534851665
2024-08-05,10817.98749388718,11550.34781112232
2024-08-06,10867.806095238573,11656.836780825593
2024-08-07,10813.280072554033,11578.924433323244
2024-08-08,11031.898113518164,11846.595955308858
2024-08-09,11074.565295702922,11898.836792999398
2024-08-12,11069.946675766885,11905.08693479655
2024-08-13,11160.88174356211,12100.8735257938
2024-08-14,11187.343830579028,12139.04946936047
2024-08-15,11355.308115822501,12347.115002055712
2024-08-16,11377.655630912008,12374.79795635027
2024-08-19,11463.086971526542,12493.119033798353
2024-08-20,11453.775606127505,12472.802614490478
2024-08-21,11483.27052843083,12515.66823948529
2024-08-22,11404.422000893413,12417.436705901362
2024-08-23,11510.328072235812,12549.377226906985
2024-08-26,11476.26616681724,12519.461486233364
2024-08-27,11484.137085929799,12536.65145125581
2024-08-28,11434.158586176645,12463.874235747933
2024-08-29,11435.05165114925,12464.98786216376
2024-08-30,11530.476475520083,12583.979882235044
2024-09-03,11312.91774404518,12325.015397095662
2024-09-04,11301.350771805637,12299.78657107648
2024-09-05,11280.757025436704,12269.872213789711
2024-09-06,11114.77150721984,12063.368524850332
2024-09-09,11214.937026121246,12198.432733367677
2024-09-10,11240.991770169287,12251.565855577732
2024-09-11,11323.857697815158,12377.253468012499
2024-09-12,11405.904065984669,12481.509651336712
2024-09-13,11457.20495582297,12546.697606574739
2024-09-16,11461.899412917974,12565.228073456734
2024-09-17,11464.239183739584,12570.363205451207
2024-09-18,11438.75417270939,12533.082313177756
2024-09-19,11609.426875019606,12746.951153716966
2024-09-20,11591.84272255711,12724.916567938957
2024-09-23,11607.036363145633,12756.712331344392
2024-09-24,11623.625938798195,12793.214376820191
2024-09-25,11604.402583093912,12764.998818587628
2024-09-26,11644.641326598074,12815.608643179708
2024-09-27,11629.863069498742,12797.021457436782
2024-09-30,11660.419865801741,12848.302224652063
2024-10-01,11608.24322354433,12733.203055182194
2024-10-02,11611.909036283141,12738.576129715204
2024-10-03,11593.35232359895,12715.286812062468
2024-10-04,11685.420513896528,12830.835582259226
2024-10-07,11582.864122498797,12714.838594722434
2024-10-08,11637.581962583143,12835.089496829
2024-10-09,11698.093117134851,12923.992852870168
2024-10-10,11680.161714552994,12901.374477840633
2024-10-11,11741.408147408272,12978.629716588302
